edge_id,charge_node_id,charge_node_distance,场站名称,充电车位数
3761,20987.0,895.0,MA01H3BQ1,10
3765,20989.0,842.0,MA01H3BQ1,10
3766,20987.0,783.0,MA01H3BQ1,10
3771,20987.0,677.0,MA01H3BQ1,10
3782,19700.0,989.0,MA5DT8Q54,10
3783,19700.0,989.0,MA5DT8Q54,10
3785,19700.0,889.0,MA5DT8Q54,10
3786,19700.0,934.0,MA5DT8Q54,10
3787,19700.0,767.0,MA5DT8Q54,10
3788,19700.0,934.0,MA5DT8Q54,10
3789,21000.0,515.0,MA01H3BQ1,10
3790,19700.0,767.0,MA5DT8Q54,10
3792,19700.0,474.0,MA5DT8Q54,10
3793,20854.0,884.0,MA01H3BQ1,10
3794,20854.0,788.0,MA01H3BQ1,10
3796,20854.0,899.0,MA01H3BQ1,10
3797,20854.0,788.0,MA01H3BQ1,10
3798,20854.0,932.0,MA01H3BQ1,10
3800,20854.0,884.0,MA01H3BQ1,10
3801,20854.0,846.0,MA01H3BQ1,10
3802,20854.0,846.0,MA01H3BQ1,10
3803,20854.0,932.0,MA01H3BQ1,10
3804,20854.0,745.0,MA01H3BQ1,10
3805,20854.0,788.0,MA01H3BQ1,10
3806,20854.0,715.0,MA01H3BQ1,10
3807,20854.0,879.0,MA01H3BQ1,10
3808,20309.0,427.0,MA5CTTPE8,10
3809,20854.0,715.0,MA01H3BQ1,10
3810,20854.0,597.0,MA01H3BQ1,10
3811,20854.0,562.0,MA01H3BQ1,10
3812,20309.0,427.0,MA5CTTPE8,10
3813,20854.0,580.0,MA01H3BQ1,10
3814,20854.0,580.0,MA01H3BQ1,10
3815,20854.0,481.0,MA01H3BQ1,10
3816,20309.0,197.0,MA5CTTPE8,10
3817,20854.0,260.0,MA01H3BQ1,10
3818,20854.0,282.0,MA01H3BQ1,10
3819,20854.0,260.0,MA01H3BQ1,10
3820,20854.0,462.0,MA01H3BQ1,10
3821,20854.0,188.0,MA01H3BQ1,10
3822,20854.0,353.0,MA01H3BQ1,10
3823,20854.0,353.0,MA01H3BQ1,10
3824,20854.0,84.0,MA01H3BQ1,10
3825,20854.0,188.0,MA01H3BQ1,10
3826,20311.0,89.0,MA5CTTPE8,10
3827,20311.0,89.0,MA5CTTPE8,10
3828,20311.0,173.0,MA5CTTPE8,10
3829,20854.0,444.0,MA01H3BQ1,10
3830,20854.0,444.0,MA01H3BQ1,10
3831,20854.0,260.0,MA01H3BQ1,10
3832,20854.0,398.0,MA01H3BQ1,10
3833,20854.0,202.0,MA01H3BQ1,10
3834,20854.0,170.0,MA01H3BQ1,10
3835,20854.0,84.0,MA01H3BQ1,10
3836,20311.0,173.0,MA5CTTPE8,10
3838,20854.0,444.0,MA01H3BQ1,10
3839,20854.0,202.0,MA01H3BQ1,10
3840,20854.0,277.0,MA01H3BQ1,10
3841,20854.0,337.0,MA01H3BQ1,10
